Description,Actual_cate,Predicted_cate
hi please fill enclosed form colleague administration officer,4,1
requested write similar,0,0
restrictions affect anyhow work site client hello due next site restrictions affect accessing also thing affect work please let find solution leave regards software engineer blvd floor district,0,0
cable please hello cable connect monitor please thank best,3,3
entity needed hi please provide entity thank,4,4
database hello please give same leave several weeks girls maintain make further developments reports dashboards made by log assign please best wishes analyst,0,0
sent monday event notification data event et door vest remote alarm source et door vest details details details sent monday event notification data event et door vest remote alarm source et door vest details details details,2,2
please allocate bag hi please allocate bag thanks best regards,3,3
complete colombia dear please help completed form internship student back intern joining well please complete going his where he going seated thank compliance officer,3,3
mailbox hello please help mailbox part thanks officer ext,4,4
si va ii si maine si va,1,1
tuesday november please secure area hi please secure area move rd floor anytime want please mentor more details thanks officer,1,1
purchase po dear purchased requested by please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,3,3
december please secure area hi please secure area thank officer,1,1
sent monday november devices able connect importance high dear we encounter issues with using devices connect calls with particularly part them were able connect last week meeting rooms friday could you please help with urgently today had very important call with client could use any devices thank you head testing,3,3
hi looking share wanted appropriate location update location seems obvious choice owner regards,4,4
sent friday errors during installing hello everyone could you please help with installation server followed instructions but finally before installation process running below dialog followed by another view please advise what can avoid errors regards intern registered under number whose registered old broad street kingdom does provide any clients each subsidiaries separate en,0,0
sent monday december server down hello one staging servers down please boot regards applications engineer sent monday december server down hello one staging servers down please boot regards applications engineer,0,0
sent monday july lost badge hello lost badge can you please assign one for thank you,2,2
sent november slow connection hello our experiencing problems because poor connection calls being closed or unable connect because please raise ticket talk with or for testing if you need if you need more info please let know have great kind regards engineer ext,0,0
purchase po dear purchased requested by cs please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,3,3
addresses good morning provide addresses offices provide kind provide thank,0,0
sent wednesday february lost access card importance high hello please be advised misplaced her access card therefore we need follow process order deactivate assign another one her thank you best regards leader ext,2,2
hello laptop having issues with wireless connections there networks found even if turned please note need be fixed since november be attending training thank you,0,0
screen dear moved kindly requesting screen had tower by thank officer ext,3,3
purchase po dear purchased adaptor premium hub please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,3,3
snapshot hi please make snapshot going upgrade version please let snapshot ready thanks best regards engineer mobile,0,0
friday february returned card la merci,2,1
date hi please extend date till log against seems out date prompt help highly needed thanks officer,4,4
thursday pm secure area greetings please secure area resources kind regards officer,1,1
original message sent monday event notification data event st floor front door left open for minutes source et front details details details,2,2
friday pm re permissions attached document friday re permissions hello again update did bit sifting attached her revised version couple related which assume affect daily tool also backup highlighted which checked relevant member please well proceed removing unnecessary permissions obviously required well tracking thank best regards leader friday permissions importance high hello dear please kind help also add task planner obviously available bring contribution much needed move forward thank best regards leader thursday permissions maine cine view si cine si si la si si dedicate ore,4,4
hello please log add equipment equipment by configured communicate other devices model cts location floor other please let engineer,0,0
door closing times,2,2
sent november event notification data event ground floor front right door open source main details details details,2,2
sent wednesday november access card hello please block access card have lost currently using visitor access card require one for any additional information please let know kind regards,2,2
hi name work location details note mailbox receive messages,4,4
re card leaver pride signature files image tower rom pride signature files image confidentiality notice content communication represents confidential proprietary information pride signature files image please consider environment printing wednesday card leaver hello la si,2,2
clone hi guys please assign clone after order test upgrade upgrade cloned machine needs different going testing purposes deleted after weeks zone console upgrade requested by order patch vulnerabilities thanks senior engineer,0,0
friday pm hi guys please help granting secured areas cleaning members card she charge supervising other members she needs secured areas well thank,1,1
sent monday si taste initial taste si si ulterior face taste va sa,3,3
change monitor hi please assign please change monitor possibility adjustable best regards engineer,3,3
pm permanent cards la care vin va semi thanks,1,1
urgent la va ii la la va va,1,1
friday july reassign card intern hello guys lately please assign card intern she needs she until also about ago responded she assign card colleagues please kindly assign existent card intern her name thank,1,1
permissions hello please help configuration since changed these wallet environment testing host name host intern host proxy host proxy test host test proxy host test host inside secure thank,3,0
re create snapshot production dear please users attached templates please include he product owner app let questions thursday create snapshot production hello going upgrade starting please schedule snapshot creation production order backup worst possible prefer possible snapshot taken morning also person saturday restoring snapshot wrong thank best regards senior engineer,4,4
card va va,1,1
card dear please provide floor aquarium card number thanks,1,1
thursday july pm cameras hello please install cameras location center assign thank infrastructure,2,2
folders dear please joiner today given same folders important treasury thanks head tax treasury pm re folders fine wrote hi please given same folders thanks head tax treasury,4,4
please action submit cards hello seems complete december help developer please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,4,4
re switch problem hi copied please ensure switches labelled help networks thanks switch problem hi please book top switch rack room seems had call dead phone meeting room had patch spare socket second switch down switches labelled find name serial number thanks,0,0
weekend disaster recovery site disarm,2,2
area hi guys please help restricted area floor working pm thank much,4,1
friday december please area hi please secure area allowed move rd floor please mentor regarding spare thank officer,1,1
thursday february re card hi please assign card card lost thanks,1,1
contacted via phone ask guest,4,4
update tool hi recently users were moved onto part move update utility installed allowing users easily update passwords receive utility going expire days thanks,3,3
friday december pm please secure area hi please secure area tower thanks officer,1,1
re purchase po has assigned hello please log retrieval well thank,3,3
add mobile test devices hello test scenario connect terminal mobile involves both mobile device terminal same add devices ad cd order test different devices os future releases thank,0,0
replace bag hello replacement bag because existing got shape safe items spoke he thank head analysis,3,3
purchase po dear purchased product quantity yellow cables cables cables preferably cables preferably cables adaptor mini la mama port slim hub please log allocation kind regards administrator,3,3
hi guys please users back passwords thanks senior engineer hi passwords due expire next few days please passwords thank kind regards fax unit industrial centre cambridge please consider environment communication print views expressed individual except where specifically stated view subsidiaries addressed customers opinions advice contained subject relevant terms reserves right monitor communications networks notice intended solely named recipient contain privileged confidential information intended please notify immediately destroy must copy distribute take action reliance upon whilst efforts made safeguard cannot attachments virus free compatible accept liability respect viruses computer problems experienced important card details by,4,4
tuesday december secure area hi please secure area please mentor move rd floor tower thanks officer,1,1
hi please issue assign thank best regards engineer tuesday pm hi please help went flow got stuck thank best regards compliance ext,4,4
how stop re boot minutes important call ext mob glee zone,3,3
re card kindly allocate card possession thank,1,1
access card hi please consider access card lost initiate issuing card thank you regards tester,2,2
sent wednesday march machine issue hi we having selenium grid machine working until today used for testing dashboard used access hub let know if there any issues with machine thank you consultant lead,0,0
issues accessing software software could start up,0,0
sent wednesday october issues hi seems lost again access while connected can you please raise ticket assign helped before with issue configuration adapter connection disconnected connection specific suffix adapter area connection connection specific suffix address mask default gateway log attached thanks,0,0
license hi deal lot example parse image human face images diagram skin doctor choose part face throat which were affected by also coordinates inside component big image face images sometimes loading too slow allow functionalities licensed gain license thank kind regards va analyst,4,4
re card va se,1,1
purchase po dear purchased mobil pixel link please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,3,3
sent thursday november meeting room phone speaker issue hi can you please check possible replace meeting room phone speaker sound quality poor we cannot continue meetings over phone way would be good if you can by tomorrow before our next call meeting room thank you agile manager,3,3
re starter card enabling va card ne cum format va,1,1
snow lux,4,4
hi please regards developer,4,4
population hi please assign based export importing application thank engineer,4,4
cards badge merge floor please help la si,1,1
sent wednesday december re jersey offices down please advise still have received anything acknowledging thanks sent wednesday december re jersey offices down please advise down thanks sent wednesday december re jersey offices down whole connection any resources or self phones also down nj we started send need get addressed asap we want have issue morning does look like down down since today thanks sent wednesday december jersey offices down dear writing nj working today contacted let know down requires immediate assistance kind regards manager nj,0,0
sent friday july hello badge data se sa fie si sa se care se engineer,2,2
march pm reactivate card hello awesome please reactivate visitor card colleague found thank lovely,1,1
hi guys please add receive communicated too thank,4,4
tuesday february pm card extension hello please extend visitor card number past clock mr needs building because he working late good evening,1,1
sent friday card hello again ii ii va ail manager,2,2
wednesday pm cur bun sear la mb cur la cur,1,1
hi please developer his october thank,2,2
pm hi joined fast followings visual studio provide other information please let thank best regards,0,4
friday pm maternity leave form ne maternity leaver form administration officer,1,1
thursday pm hi fill starting return both thank,1,1
monitor needed hello monitor relocated tower thanks developer,3,3
sent wednesday badge missed hello missed badge would like ask you disable access for please let know when one be allocated for myself thank you leader ext en address st emergency telephone number,2,2
sent wednesday march re la cleaning care full ca ultima data care va sa conform members card cleaning pal cleaning full cleaning manager,2,2
rebuild hi please redeploy latest code task disciplines testing machine name user pass root pass thank test consultant mobile,0,0
sent friday october phone problems hello appears have encountered some problems with phone cannot make transfers because buttons working neither prime line button working also connection pretty bad screen moving very slow thank you kindest regards manager,3,3
thursday july pm ne care va la administration officer,2,1
purchase po dear purchased cs stand alone wireless presentation meeting rooms link please log allocation please help device kind regards administrator,3,3
access badge lost hi have lost access badge please block let know how can receive another one thanks,2,2
production sonar hi please provide characteristics cpu cpu cores each os bit sonar production integrate actual sonar also sonar instances actual sonar sp sonar cpu storage decommissioned after migration thank engineer,0,0
hello please order decommission best regards engineer friday re hi decommission best regards test consultant logo logo pm re hello performing determine unused requested deploy please let running decommission looking forward best regards engineer,4,4
return maternity maternity ca calculator maternity si ca exact cum ca va,2,1
friday re cards importance high good morning understood solved please card allocated colleagues thank best regards friday pm cards dear kindly allocate visitor cards two joiners thanks specialist ext hub,1,1
sent friday re low bandwidth problems floor our meeting room hi want make small note here used cable audio was satisfactory but had video also morning screen sharing did work header common issue best regards sent friday low bandwidth problems floor our meeting room importance high dear we have low bandwidth problems floor when connecting cable tried our or meeting rooms problem because impacts our work our relationship with client please let know what root cause thank you best regards agile manager next annual leave,3,3
updates installed july dear please initiate updates installed july thanks senior consultant,0,0
sent monday october problems with installation hi have problems when try install studio say have install another version framework could you help please thank you tester,3,3
issue dear please help add shared actual tried wrong opening thanks officer ext,3,3
lost visitor card tower hi while being trip tower have lost visitor card badge please cancel possible thank you shared senior accountant ext en,2,2
card la care vine si ca badge sa si sa sa ii manager,2,2
leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments decided leave country work abroad needed tickets automatically logged best regards note mailbox receive messages,4,4
invitation nj safe october invitation nj nj holiday party around corner nj needs re invited nj holiday party view invitation nj invitation view invitation download mobile app download android app download app want receive person host invite guests by text,2,2
va ca si la va,1,1
wednesday la casa hello ii card la casa care cafeteria available wednesday la casa va ne la alt card va,1,1
purchase po dear purchased requested by mouse charcoal black mouse wireless flame red patch cat well prize rack ext please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,3,3
thursday pm right secured area hi please remover employees allowed secured thanks,1,1
complete hi please help completed form joining march thank lead,4,4
maternity leave dear please note starting maternity leave unfortunately yet exact date since she provide certificate yet back form once confirmation thank lead,4,4
thursday march pm close secure area hi please close secure area tower resources thank officer,1,1
card personal va ii card si inclusive la si la firma va tine si va,1,1
hi please thank,4,4
issues with access cards,2,2
february area tower good morning please secure area tower colleagues thank kind regards officer,1,1
report dear please dear colleagues please help fixed assets transactions report thanks regards phone re report hello please too backup thanks report hello kindly asking report entity well possible please report today thank ledger accountant please refer section entities,4,4
reservation hello please log assets install thank engineer ext,3,3
complaint regarding resolution hello please approved by moderator please close complaint off thanks re complaint regarding resolution please proceed regards complaint regarding resolution hi help surveys lists surveys evaluating moves annual satisfaction ones thanks clarifying helping progress friday pm complaint regarding resolution hi writing regards complaint excerpt tuesday pm feedback how move hello please informed checked has moderator means each has approved by moderator he has out automatic informs delay flow process please let further information assistance needed kind regards analyst allow offer bit context while back were entire lists which caused corrective action limitations were members groups allowed lists were expand said directly personal instead corrective action moderators were lists under moderated means expanded once wait moderator approve users groups added exceptions said lists permissions thus bypass moderator altogether solution recommend ask make every location order surveys out immediately reaching wait moderator approve course subject thank,4,4
sent wednesday march belgrade vulnerability findings hi sheet titled results by address attached excel file list addresses belgrade critical high severity vulnerabilities found these by run by february can you please raise tickets for each address forward correct ask them apply fixed software configurations resolve least those vulnerabilities marked high or critical column sheet re severity column re assessment takes into these servers far know only exposed chances exploit can be considered be lower than if were exposed kind regards information compliance officer extension or,2,0
friday pm re leaver card hello si predate thanks wednesday pm leaver card va care la va ne analyst ext hub,1,1
thursday pm changes hi please update also which were added side thank,0,4
additional dear please additional name pipeline tests type single choice initial values create cancel refund site adjustment lookup create plan plan delete plan thanks automation engineer,4,4
status workstations hello please log call assign queue under providing status workstations thank best regards senior engineer,0,0
clean install hi please provide clean install thanks,3,3
re floors hi please thanks lot spotting best regards thursday pm floors hi member suggest floors removed floor redirect thanks,4,4
sent thursday down hi please restart machine we can regards design lead ext,0,0
starter form hi please help completion attached stater form joining st march thank,4,4
sent friday december november critical high results hi can you please raise tickets relevant teams guess investigate hopefully fix vulnerabilities identified assets attached results vulnerability scans performed there recently appreciate apache maybe other product reported vulnerabilities might be false positives due old version being reports for package editions into later patches have back ported kind regards information compliance officer extension or,0,0
original message sent thursday event notification data event et door remote alarm source et vocal main details details details,2,2
purchase po dear purchased link area code protective cover bumper type protective glass please log allocation kind regards administrator,3,3
client dear please atom his updated credentials thank hi ask update please currently atom thanks,4,4
add users nexus hello kind add user nexus prod please assign thank kind regards analyst,4,4
sent thursday october browsers hello constantly getting site can be reached message whenever try view any web pages chrome however when click search link below brings up but when click get same error message same issues ie mob,3,3
tuesday card leaver hello received flowing cards back damaged card leave,1,1
permission card allowed doors earlier hello please bellow assign thank engineer ext december permission card allowed doors earlier hi spoke morning related conversation permission card allowed doors every working afterwards based needs flexible working appreciate permission possibility next thank lot appreciate means lot br,1,1
change role hello dear please change pm role starting kind regards discipline lead,4,4
lost budge hi dear would like inform had lost badge therefore would like ask you perfect one for note was lost inside tower elevator let know if you need more information best regards tester en en,2,2
remains trying connect status while,3,0
sent tuesday november urgent poor quality audio video cable floor importance high dear we experiencing very poor quality audio video cable floor location can we please have your help improving experience affecting with our client image thank you best regards agile manager next annual leave november december,0,0
hi think rd received every requested take survey please think because bulger which mentioned take survey link course links thanks software engineer,1,1
sent thursday march badge hello badge work anymore can enter could someone help out with thanks monitoring engineer,2,2
assignment groups adjustment has assigned dear please thank friday pm assignment groups adjustment has assigned pm pm pm ii pm give minutes done,4,4
video broadcasting agile days hello dear video broadcast agile days please details please let person accountable test broadcasting event both tower kind regards discipline lead tuesday pm agile days booking rooms hello booking la meeting rooms agile days care loc meeting rooms casa opening ceremony tower opening ceremony closing ceremony cafe booking la booking parallel video broadcasting si discipline lead,3,3
pm card hello please activate visitor cards thank,2,1
sent friday february re check last usage card hello mr told lost his card using card think would be better deactivate next comes figure out card being used by somebody sent friday february check last usage card hello please be advised card seems have used last th february should there be anything we assist with let know thank you kind regards analyst ext hub sent wednesday february card issue importance high could you kindly check card when was last used thank you manager,2,2
add hello please add she needs resources her thank,0,4
sent wednesday october broken notebook keyboard notebooks right side button broken could you advise thanks,3,3
pm card hi please assign card he has right broken thank,1,1
upgrade hello please help upgrade thanks developer,3,3
sent monday october can change domain password because computer can reach domain wire hello can change domain password using wire because computer can reach domain server request be processed domain controller for domain error occurred server unavailable please expedite password expires today best regards senior developer,3,3
wednesday pm disk extension required hello due migration requirements instance increase volume disk attached instance help please further details please let best regards engineer,0,0
friday pm create restrict floor hi teams implemented via change next until then created groups themselves added members aside leavers which listed document mentioned find two active users please find out cards around friday create restrict floor hello please advised has logged assigned queue thank much kind regards analyst ext hub thursday pm re members hi by restrict floor dedicated teams please personnel attached spreadsheet both sheets create groups users physical control which then allocated permitted groups floor points main doors side doors near stairwell doors required control populated accurately particular reason restriction implemented possible personnel has changed since spreadsheet please notify going forward notify members needing floor leavers roles changes captured via processes kind regards,1,1
forwarder hi guys please investigate possible create forwarder user directly order calling even user redirected phones thank,4,4
relocated logged by mistake july dear saw logged by mistake days relocated logged short term relocated instead way make sense thank,4,4
confluence billing hello please billing confluence joining contract billing please link billing thank programme portfolio officer,4,4
purchase po dear purchased please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number kind regards administrator,3,3
re upgrade dear same story same tickets thanks kind regards engineer december upgrade dear please log tickets assign expanding her drive order needed win upgrade helping installing thank kind regards engineer,3,3
please rise next tickets hello please rise next tickets assign summary user rights environment assigned administrator please requester kind regards engineer,4,4
card replacement hello card id broke thanks software engineer mobile,1,1
re velocity campaign presume because granted help please these gentlemen velocity head id image date wednesday re velocity campaign hi video reason delivering exceptional agile execution model re velocity campaign hi please find video walks existing experience positioning chat help cheers head id image date saturday re velocity campaign keen details built quite lot material right lead gen also provide her around collateral digital social helps wrote hi further also spoke about putting campaign together based area mentioned great study think were going come back regarding believe documented action looking forward getting involved think great starting probably feed leads guys result enough spread even further much going keeping loop regards re velocity hi think please both consider yourselves introduced thin person whom work these better understood work out how best etc absolutely agree publication client facing formats think come effectively guys doing short medium term think useful bones possible studies searchable done skill sector how achievable best choice these ones sharable format clients probably cut four chunks re velocity hi references mainly overview client work teams win aim adjust template template content want match structure content studies believe more work gather content suggest top how sound directly needed worked him deal announcement regards thursday pm re velocity make introduction velocity hi these format share whole guys liaise form cheers re velocity hi think fits pass validate please split these out take background tasks gives useful large reference please let guys bombard anyone questions collate weekly whatever great answered obviously urgent come straight let velocity hi factor commercial cheers re velocity good presume leading wider two perhaps wins priority making best two stories perspective perhaps work produce cheers head date tuesday velocity guys thinking great velocity together top clients sector success sweet spots success stories etc took while fully utilise example expertise found out about couple months ago think good starting fully ourselves integrate properly cheers,4,4
sent monday lost card token hello have lost access card token could you please assist with thank you best regards analyst en ext,2,2
sent july se card bun la se se,2,2
maternity leaver form hi please assist completion attached maternity leaver form note technical assets handed over kind regards officer,1,1
hello users location complain does work over cable have performed several tests turned out servers reachable port please help solving issue thank you best regards,0,0
low free partition dear running low disk lots free other partition please let done best regards senior tester,3,3
purchase po dear purchased pro retina intel plus graphics kb please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,3,3
confluence hello guys confluence help kind information thank design lead,4,4
sent november having issue activating pc build hi have issue when trying activate newly built pc says cannot activate have image tool build pc but maybe there update or something need laptop out today if you could help asap would be great thanks much senior engineer ext,3,3
hello have question regarding could be our filter excluding confluence links currently with denmark would be useful if you could help confirm or ca merge mea ca timeout la upgrade exact la la ca la ales ca pot la,0,0
reported infected with virus,2,2
re va november pm re approved head analysis november pm hi please interview tomorrow he december thank,1,1
delete item folder site hi please delete overview location libraries shared resources templates ebb reason seems rights delete file which did expect thanks head,4,4
auditing module hi please auditing module more details please let thank kind regards accounts payable,4,4
december pm card hi encountering problems regarding cards badges helpful better understand process please help more information thanks blvd floor district,1,1
leaver form leave date december location hello leaver form has filled by name leaving date december location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments next kitchen area floor needed tickets automatically logged best regards,3,4
sent tuesday february flooding polls importance high hello please log ticket against monitoring escalate investigate below especially highlighted part treat incident hindering ability monitoring flooding polls generate hi there gap between poll states down alert generated according reports alert was generated between poll came back up response we measure automatically nor we report client for priority ticket minutes based can you please tell what should differently next below per polls settings configured severity levels set default means for default alert poll needs test down for consecutive inquiries if happens alert be generated timeout set seconds polling interval set minute total takes minutes seconds for detect alert course if works properly case took times amount suggest either raising with handle or changing interval minimum won ensure immediate action but be much faster if there further info can assist with please hesitate contact thanks incident manager thank you manager,0,0
re ad users testing application testing automatic testing hello accounts removed thank,4,4
accounts good morning please note changes deactivate user accounts create accounts users tester,4,4
card si ca card internship,4,1
card hi unfortunately access card got destroyed if possible please help with one sorry thank,2,2
card joiner card inca card,1,1
sent monday july lost badge writing report have lost badge could you please block raise request for one,2,2
november pm please area hi please secure area once granted please mentor where spare kind regards officer,1,1
there issue with vagrant virtual with please could you please downgrade,0,0
sent october defender endpoint turned off ca defender si endpoint turned off si si sa,3,3
sent monday july lost card importance high va sa si sa ca si lost visitor card manager,2,2
device recovery report path printer details tray copier details tray scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device notified,3,3
purchase po dear purchased monitor inch please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards kind regards administrator,3,3
collection hi please best regards monitoring analyst thursday collection software developer,4,4
hi germany he tried himself site reports his details he needs administrator please advise possible since he member client side best regards lead,4,4
friday february pm maternity leave importance high dear starting maternity leave return devices morning approach return items assigned note regarding please make remains active after thank test lead,1,1
complete colombia dear please help completed form internship student back intern joining well please complete going his where he going seated thank compliance officer colombia,3,3
additional hi please provide additional order run virtual machine few threads visual studio br tester,3,3
please assign hello please assign directly order link both cards fiber switches thanks senior engineer,0,0
restrict area hi please restrict secure area tower effective thank regards officer,1,1
hi please help providing cable monitory during thanks floor blvd district,3,3
starter form hi please help completion attached starter form join thank,4,4
original message sent tuesday december event notification data event th floor front door open source et front details details details,2,2
